,dia,vah,vpoc,val,vol,range,vwap,open,high,low,close,vol_vah,vol_vpoc,vol_val,poc_naked,rango_area,delta,vix_close,dia_semanal
0,08/15/2022,4303.75,4298.0,4271.0,1275500,223,4281.74,4277.0,4304.75,4249.0,4298.25,400,78100,44500,0,32.75,2100,19.95,Lunes
1,08/16/2022,4314.5,4307.75,4290.75,1319200,195,4300.8,4277.0,4327.5,4278.75,4307.75,19200,63100,51300,0,23.75,-12800,19.69,Martes
2,08/17/2022,4282.75,4276.0,4264.0,1582000,240,4278.62,4309.25,4315.0,4255.0,4276.75,17100,108900,26000,0,18.75,-12400,19.9,Miercoles
3,08/18/2022,4288.75,4287.0,4272.0,1315900,150,4279.17,4287.0,4295.5,4258.0,4278.75,54200,67600,62800,0,16.75,-880000,19.56,Jueves
4,08/19/2022,4243.5,4230.75,4227.75,1625600,269,4239.75,4287.0,4288.0,4229.75,4231.5,49500,129600,46700,1,15.75,-14500,20.6,Viernes
5,08/22/2022,4163.25,4140.5,4131.5,1666200,360,4158.65,4221.0,4221.5,4131.5,4141.25,43700,82400,3400,0,31.75,-6300,23.8,Lunes
6,08/23/2022,4145.75,4138.0,4130.0,1537100,175,4140.03,4147.0,4161.75,4118.0,4130.5,49900,107200,42400,0,15.75,-3100,24.11,Martes
7,08/24/2022,4147.5,4139.75,4126.75,1292800,191,4139.16,4128.25,4158.5,4110.75,4142.75,34600,74300,29000,0,20.75,-9600,22.82,Miercoles
8,08/25/2022,4181.75,4174.0,4158.0,1572300,239,4171.86,4148.75,4202.75,4143.0,4201.0,37200,75200,36400,0,23.75,13200,21.78,Jueves
9,08/26/2022,4138.5,4058.75,4053.75,2115500,698,4122.02,4198.25,4217.25,4042.75,4059.5,14500,50500,14000,0,84.75,-2490,25.56,Viernes
10,08/29/2022,4046.5,4028.75,4018.75,1901200,229,4037.36,4024.0,4064.0,4006.75,4031.25,55900,65100,30900,0,27.75,9200,26.21,Lunes
11,08/30/2022,3999.25,3986.5,3971.5,2484200,433,3998.95,4035.75,4072.75,3964.5,3987.5,15700,115400,21000,0,27.75,-1700,26.21,Martes
12,08/31/2022,3991.75,3956.0,3955.0,2269000,261,3981.96,3987.25,4018.25,3953.0,3956.5,50400,68800,60100,0,36.75,-16100,25.87,Miercoles
13,09/01/2022,3935.25,3928.5,3905.5,2147200,271,3930.94,3958.0,3971.25,3903.5,3968.75,40800,72900,23300,0,29.75,25200,25.56,Jueves
14,09/02/2022,3990.75,3938.0,3906.0,2433300,453,3967.31,3967.5,4019.25,3906.0,3924.5,36600,52400,2000,0,84.75,3600,25.47,Viernes
15,09/05/2022,3937.0,3933.25,3926.25,213300,108,3930.0,3929.0,3942.25,3915.25,3936.25,10100,15900,10600,0,10.75,1600,25.47,Lunes
16,09/06/2022,3929.5,3908.75,3892.75,2059600,306,3918.61,3929.0,3963.25,3886.75,3910.5,32700,79300,14200,0,36.75,-7900,26.91,Martes
17,09/07/2022,3988.25,3979.5,3925.5,1843700,421,3943.39,3907.5,3988.75,3883.5,3980.0,5900,70200,25200,0,62.75,20400,24.64,Miercoles
18,09/08/2022,4001.5,3992.75,3966.75,2127400,275,3982.45,3980.0,4011.5,3942.75,4005.5,31100,82500,28500,1,34.75,535000,23.61,Jueves
19,09/09/2022,4064.5,4035.75,4025.75,1116300,286,4051.34,4010.25,4077.25,4005.75,4067.25,10500,46500,4500,1,38.75,5100,22.79,Viernes
20,09/12/2022,4133.0,4127.25,4114.25,1472700,230,4120.1,4077.25,4137.75,4080.25,4110.75,31300,85500,28300,0,18.75,-21100,23.87,Lunes
21,09/13/2022,4084.25,4003.5,3978.5,2394900,946,4014.21,4118.25,4175.0,3938.5,3931.25,1100,71800,12900,1,105.75,-13700,27.27,Martes
22,09/14/2022,3973.75,3963.0,3952.0,2190700,209,3958.73,3936.75,3981.25,3929.0,3947.5,46500,108800,53600,1,21.0,-3200,26.16,Miercoles
23,09/15/2022,3952.75,3935.0,3909.0,2302200,290,3940.87,3955.0,3977.5,3905.0,3902.0,42800,67700,20100,0,43.75,-29200,26.27,Jueves
