,mes,vah,vpoc,val,vol,close,vwap,open,high,low,range,vol_vah,vol_vpoc,vol_val,poc_naked,rango,tendencia,delta,vix_close
0,May20,2923.25,2895.0,2758.0,34261500,3042.0,2859.57,2871.5,3013.0,2707.75,1221,6700,80100,48700,0,165.25,alcista,2393400,27.51
1,Jun20,3096.5,3058.5,2977.25,37579600,3090.25,3048.07,3029.75,3178.75,2881.75,1188,29500,109400,41800,0,119.25,alcista,2715800,30.43
2,Jul20,3228.5,3175.75,3121.25,34836800,3263.5,3152.92,3085.25,3242.5,3020.75,887,8000,136200,65700,0,107.25,alcista,2997900,24.46
3,Ag20,3360.75,3329.0,3240.0,26025900,3499.0,3342.78,3272.0,3482.5,3212.75,1079,1400,126900,18200,0,120.75,alcista,2676400,26.41
4,Sep20,3381.5,3307.5,3216.75,38389400,3352.0,3323.83,3493.25,3545.0,3165.75,1517,12900,94100,29500,0,165.0,bajista,1803400,26.37
5,Oct20,3488.75,3403.75,3334.0,35143400,3264.75,3368.98,3344.75,3508.75,3192.75,1264,16300,73900,32600,0,154.75,bajista,1756700,38.02
6,Nov20,3591.75,3524.5,3457.25,30019000,3748.75,3658.67,3260.0,3635.75,3211.0,1699,46600,84900,10500,1,134.5,alcista,2546500,20.57
7,Dic20,3676.75,3662.0,3624.25,23235500,3705.25,3755.3,3631.0,3729.0,3572.0,628,44800,125800,51000,0,52.5,alcista,2364800,22.75
8,En21,3799.0,3770.25,3692.75,29123400,3809.25,3845.81,3748.75,3838.25,3628.5,839,16300,137800,30800,0,106.25,bajista,1679100,33.09
9,Feb21,3909.25,3885.25,3816.75,28947600,3967.5,3872.91,3692.25,3935.25,3632.5,1211,22900,118200,46300,0,92.5,alcista,1802100,27.95
10,Mar21,3958.25,3872.0,3850.75,40273100,4174.5,4118.71,3817.25,3969.25,3696.5,1091,26600,96600,56400,0,107.5,alcista,2093200,19.4
11,Ab21,4174.0,4167.0,4101.5,27622200,4202.5,4140.03,3967.5,4196.5,3950.0,986,24900,141400,41900,0,72.5,alcista,3703300,18.61
12,May21,4181.5,4143.0,4082.5,31682900,4288.5,4214.96,4181.5,4223.75,4014.75,836,106700,120000,23800,0,99.0,alcista,2317100,16.76
13,Jun21,4238.0,4206.25,4175.0,22622900,4389.5,4337.94,4206.5,4289.25,4121.75,670,20900,128100,21000,0,63.0,alcista,2454600,15.83
14,Jul21,4393.0,4347.0,4307.0,27830500,4505.5,4438.37,4294.25,4417.5,4219.0,794,42100,85600,27100,0,86.0,alcista,3408700,18.24
15,Ag21,4458.75,4432.75,4370.75,24145800,4297.75,4427.96,4396.5,4537.25,4342.75,778,9700,107600,8900,0,88.0,alcista,2773400,16.48
16,Sep21,4539.75,4442.25,4378.5,30833600,4597.0,4432.4,4527.75,4544.5,4298.25,985,4600,95100,22900,0,161.25,bajista,1532400,23.14
17,Oct21,4518.75,4354.5,4265.25,27938700,4566.25,4663.96,4301.0,4620.0,4264.5,1422,7600,65100,700000,0,253.0,alcista,2529200,16.26
18,Nov21,4714.75,4677.25,4642.0,28128300,4758.5,4647.81,4608.0,4745.0,4561.5,734,24000,118500,36400,0,72.75,bajista,1208300,27.14
19,Dic21,4717.0,4691.0,4557.0,32554300,4504.25,4529.95,4587.5,4811.5,4496.5,1260,9200,78500,32800,0,160.0,alcista,1992100,17.22
20,En22,4733.75,4690.0,4368.0,40464300,4368.0,4407.1,4771.0,4803.5,4208.0,2382,11200,187800,52100,1,365.75,bajista,881600,24.83
21,Feb22,4576.75,4498.0,4359.0,34995400,4530.75,4373.95,4493.25,4097.0,4097.0,1937,40700,262100,96300,0,217.75,bajista,478100,30.15
22,Mar2,4457.75,4299.0,4146.0,31616100,4127.5,4378.17,4367.5,4633.5,4132.0,2006,77200,130400,9800,0,311.75,bajista,1777400,20.56
23,Ab22,4589.0,4463.25,4290.25,31177700,4135.25,4029.75,4541.0,4591.25,4121.25,1880,4800,206500,47600,1,298.75,alcista,1439100,33.4
24,May22,4112.75,4017.0,3877.0,40873300,3781.0,3909.79,4126.5,4305.5,3810.0,1982,10500,228300,41100,0,235.75,bajista,1674000,26.19
25,Jun22,3919.75,3774.0,3643.0,34544800,3789.5,3884.03,4143.75,4191.5,3639.0,2205,80200,264100,600,0,276.75,bajista,2302100,28.71
26,Jul22,3987.5,3856.75,3800.75,32906500,4133.5,3902.45,3782.0,4144.0,3723.75,1681,69700,270800,54600,1,186.75,alcista,2695200,21.33
27,Ag22,4273.0,4140.25,4089.25,37053600,3956.5,4150.19,4137.5,4327.5,3953.0,1498,45700,103000,8000,1,184.0,bajista,1453700,25.87
28,Sep22,4128.25,3947.25,3763.0,46617700,3601.5,3859.38,3958.0,4175.0,3613.0,2248,21500,75200,572000,1,365.25,bajista,1918100,31.62
29,Oct22,3806.5,3688.75,3609.5,46647800,3883.0,3726.93,3593.25,3924.25,3502.0,1689,21700,79800,50900,1,197.0,alcista,3330600,25.88
30,Nov22,4047.25,3959.5,3848.5,34729000,4081.25,3911.52,3884.0,4093.5,3704.25,1557,4100,86200,21900,0,198.75,alcista,2610600,20.58
31,Dic22,4143.25,3978.5,3880.5,29351300,3861.0,3960.57,4094.5,4180.0,3788.5,1566,9800,215500,89100,0,262.75,bajista,-88100,21.67
32,En23,4076.25,4012.5,3919.5,32822800,4090.0,3969.11,3895.0,4109.25,3814.5,1179,55200,252000,188700,1,156.75,alcista,-36000,19.4
