Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,OCO,TIF,Account,Connection,ID,Strategy,Time,
NQ 03-23,Buy,Market,1,0,0,Filled,1,11143.00,0,Entry,,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1527992274,,03/01/2023 15:45:05,
NQ 03-23,Sell,Stop Market,1,0,11135.50,Filled,1,11135.50,0,Stop1,d1072ec2229347578acb0a5a6ac440b2,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1527992299,,03/01/2023 15:45:09,
NQ 03-23,Sell,Limit,1,11163.00,0,Cancelled,0,0,1,Target1,d1072ec2229347578acb0a5a6ac440b2,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1527992314,,03/01/2023 15:45:09,
NQ 03-23,Buy,Market,1,0,0,Filled,1,11113.50,0,Entry,,DAY,PA-LL025173-003!NaturalTrading!NaturalTrading,,1527997546,,03/01/2023 15:46:21,
NQ 03-23,Sell,Stop Market,1,0,11121.75,Filled,1,11121.50,0,Stop1,ea2426e0de7f45faabd066983c89a2f7,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1527997558,,03/01/2023 15:46:43,
NQ 03-23,Sell,Limit,1,11203.50,0,Cancelled,0,0,1,Target1,ea2426e0de7f45faabd066983c89a2f7,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1527997569,,03/01/2023 15:46:43,
MNQ 03-23,Sell,Market,1,0,0,Filled,1,11158.50,0,Entry,,DAY,PA-LL025173-003!NaturalTrading!NaturalTrading,,1532007669,,10/01/2023 16:33:39,
MNQ 03-23,Buy to cover,Stop Market,1,0,11408.50,Cancelled,0,0,1,Stop1,405f2db518cb4016865460796b2381cc,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1532007675,,10/01/2023 16:33:44,
MNQ 03-23,Buy to cover,Limit,1,10258.50,0,Cancelled,0,0,1,Target1,405f2db518cb4016865460796b2381cc,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1532007677,,10/01/2023 16:33:43,
MNQ 03-23,Buy to cover,Market,1,0,0,Filled,1,11153.25,0,Close,,DAY,PA-LL025173-003!NaturalTrading!NaturalTrading,,1532008122,,10/01/2023 16:33:44,
