Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Jun 02 2023,AMC230602C00000500,4.4,0,4.05,4.2,0,0,1,0,0,0.50,AMC230602P00000500,0.01,0,0,0.01,0,7.0082,-0.0019,0.0014,26
Fri Jun 02 2023,AMC230602C00001000,0,0,3.55,3.7,0,0,0.9998,0.0008,0,1.00,AMC230602P00001000,0.01,0,0,0.01,0,4.8064,-0.0037,0.0036,63
Fri Jun 02 2023,AMC230602C00001500,3.75,0,2.99,3.25,0,0,0.9993,0.0037,1,1.50,AMC230602P00001500,0.02,0,0,0.01,0,3.5699,-0.0061,0.0074,1
Fri Jun 02 2023,AMC230602C00002000,2.86,0,2.53,2.68,0,0,0.9979,0.0137,0,2.00,AMC230602P00002000,0.05,0,0,0.01,0,2.705,-0.0097,0.0143,80
Fri Jun 02 2023,AMC230602C00002500,2.61,0,2.03,2.18,0,0,0.9946,0.0331,4,2.50,AMC230602P00002500,0.01,0.005,0,0.01,7,2.0349,-0.0156,0.0276,229
Fri Jun 02 2023,AMC230602C00003000,1.65,-0.005,1.6,1.67,7,0,0.9862,0.0674,8,3.00,AMC230602P00003000,0.01,-0.005,0,0.03,2,1.7789,-0.0265,0.0558,358
Fri Jun 02 2023,AMC230602C00003500,1.16,0,1.04,1.19,2,0,0.9659,0.1453,6,3.50,AMC230602P00003500,0.05,0.035,0.01,0.02,326,1.2246,-0.0494,0.1248,2730
Fri Jun 02 2023,AMC230602C00004000,0.66,-0.01,0.64,0.7,240,1.0479,0.9051,0.3707,456,4.00,AMC230602P00004000,0.03,-0.005,0.02,0.03,3765,0.8208,-0.1121,0.334,11925
Fri Jun 02 2023,AMC230602C00004500,0.24,-0.035,0.22,0.24,3126,0.6851,0.6358,0.9941,3168,4.50,AMC230602P00004500,0.12,-0.015,0.11,0.12,2829,0.6484,-0.3724,0.9473,8290
Fri Jun 02 2023,AMC230602C00005000,0.07,-0.025,0.07,0.08,12315,0.8149,0.249,0.6206,19316,5.00,AMC230602P00005000,0.45,-0.005,0.43,0.46,6052,0.7067,-0.7466,0.6121,16714
Fri Jun 02 2023,AMC230602C00005500,0.04,-0.005,0.03,0.04,5032,1.0127,0.129,0.3093,15154,5.50,AMC230602P00005500,0.92,0.025,0.92,0.93,2637,1.0034,-0.8648,0.307,4739
Fri Jun 02 2023,AMC230602C00006000,0.03,0.005,0.02,0.03,1742,1.2476,0.0811,0.1821,8801,6.00,AMC230602P00006000,1.41,0.01,1.34,1.52,257,1.3878,-0.9124,0.1812,1618
Fri Jun 02 2023,AMC230602C00006500,0.02,-0.005,0.01,0.03,219,1.4585,0.0564,0.1197,3887,6.50,AMC230602P00006500,1.9,0.01,1.84,2.09,72,1.979,-0.9369,0.1192,1075
Fri Jun 02 2023,AMC230602C00007000,0.01,-0.005,0.01,0.02,987,1.6133,0.0418,0.0846,4989,7.00,AMC230602P00007000,2.35,-0.035,2.37,2.59,32,2.3787,-0.9514,0.0843,837
Fri Jun 02 2023,AMC230602C00007500,0.01,-0.005,0.01,0.02,17,1.822,0.0323,0.0628,1359,7.50,AMC230602P00007500,2.75,-0.13,2.87,3.05,6,2.4823,-0.9609,0.0626,30
