Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Jul 21 2023,AMZN230721C00126000,9.42,1.72,9.4,9.5,149,0.4951,0.9788,0.0106,6920,126.00,AMZN230721P00126000,0.03,-0.055,0.03,0.04,268,0.4644,-0.0215,0.0106,9857
Fri Jul 21 2023,AMZN230721C00127000,8.54,1.79,8.4,8.5,332,0.4487,0.9724,0.014,2892,127.00,AMZN230721P00127000,0.04,-0.075,0.04,0.05,1490,0.4379,-0.0278,0.014,6170
Fri Jul 21 2023,AMZN230721C00128000,7.5,1.7,7.4,7.5,265,0.402,0.9632,0.0188,2864,128.00,AMZN230721P00128000,0.06,-0.115,0.05,0.06,2020,0.4064,-0.0372,0.0189,6042
Fri Jul 21 2023,AMZN230721C00129000,6.6,1.725,6.45,6.55,399,0.4057,0.9488,0.026,5097,129.00,AMZN230721P00129000,0.09,-0.175,0.08,0.09,2667,0.391,-0.0515,0.026,6136
Fri Jul 21 2023,AMZN230721C00130000,5.55,1.525,5.5,5.55,6221,0.3721,0.9255,0.0366,27015,130.00,AMZN230721P00130000,0.13,-0.275,0.12,0.13,4588,0.3712,-0.0749,0.0367,12355
Fri Jul 21 2023,AMZN230721C00131000,4.74,1.515,4.55,4.65,1624,0.3596,0.8867,0.0514,7533,131.00,AMZN230721P00131000,0.21,-0.415,0.2,0.21,4202,0.3616,-0.1138,0.0516,9168
Fri Jul 21 2023,AMZN230721C00132000,3.85,1.305,3.7,3.8,3325,0.3608,0.8268,0.0691,7081,132.00,AMZN230721P00132000,0.34,-0.595,0.34,0.35,11866,0.3584,-0.1738,0.0694,8500
Fri Jul 21 2023,AMZN230721C00133000,2.98,1.02,2.94,2.98,16597,0.3576,0.7468,0.0861,11295,133.00,AMZN230721P00133000,0.56,-0.785,0.56,0.57,10263,0.3587,-0.2542,0.0865,4897
Fri Jul 21 2023,AMZN230721C00134000,2.27,0.79,2.27,2.29,22406,0.3596,0.6518,0.099,11624,134.00,AMZN230721P00134000,0.87,-1,0.87,0.89,10394,0.3591,-0.3495,0.0995,7993
Fri Jul 21 2023,AMZN230721C00135000,1.71,0.61,1.69,1.71,70255,0.3634,0.548,0.1053,41312,135.00,AMZN230721P00135000,1.29,-1.2,1.29,1.31,12804,0.3626,-0.4538,0.106,7218
Fri Jul 21 2023,AMZN230721C00136000,1.24,0.435,1.23,1.25,31987,0.3693,0.4435,0.1037,9094,136.00,AMZN230721P00136000,1.82,-1.38,1.83,1.85,4232,0.3668,-0.559,0.1045,3196
Fri Jul 21 2023,AMZN230721C00137000,0.9,0.315,0.88,0.89,18453,0.3763,0.347,0.0951,11630,137.00,AMZN230721P00137000,2.46,-1.515,2.47,2.5,1878,0.3744,-0.6563,0.096,1429
Fri Jul 21 2023,AMZN230721C00138000,0.63,0.215,0.62,0.63,23190,0.3857,0.2642,0.0822,36691,138.00,AMZN230721P00138000,3.2,-1.6,3.2,3.25,559,0.3827,-0.7398,0.0832,653
Fri Jul 21 2023,AMZN230721C00139000,0.45,0.165,0.42,0.44,4292,0.3934,0.1968,0.0679,11662,139.00,AMZN230721P00139000,4.1,-1.6,4,4.05,104,0.3867,-0.808,0.069,255
Fri Jul 21 2023,AMZN230721C00140000,0.3,0.105,0.3,0.31,14461,0.4072,0.1437,0.0542,36272,140.00,AMZN230721P00140000,4.8,-1.8,4.85,4.95,309,0.3973,-0.8618,0.0552,1008
Fri Jul 21 2023,AMZN230721C00141000,0.21,0.075,0.2,0.21,2176,0.415,0.103,0.0419,5747,141.00,AMZN230721P00141000,5.9,-1.65,5.75,5.85,30,0.3991,-0.9033,0.043,136
Fri Jul 21 2023,AMZN230721C00142000,0.15,0.055,0.13,0.14,1303,0.4219,0.0727,0.0316,7415,142.00,AMZN230721P00142000,6.85,-1.65,6.7,6.8,240,0.4123,-0.9343,0.0327,266
Fri Jul 21 2023,AMZN230721C00143000,0.09,0.025,0.09,0.1,856,0.4356,0.0511,0.0234,4133,143.00,AMZN230721P00143000,7.7,-1.8,7.65,7.75,115,0.4024,-0.9566,0.0245,58
Fri Jul 21 2023,AMZN230721C00144000,0.06,0.015,0.06,0.07,354,0.4466,0.0363,0.0173,4541,144.00,AMZN230721P00144000,8.65,-1.825,8.65,8.75,47,0.4433,-0.972,0.0184,63
Fri Jul 21 2023,AMZN230721C00145000,0.05,0.015,0.04,0.05,1888,0.4584,0.0266,0.0129,17561,145.00,AMZN230721P00145000,10.1,-1.375,9.65,9.75,32,0.4833,-0.982,0.014,46
Fri Jul 28 2023,AMZN230728C00126000,9.96,1.31,10.15,10.25,69,0.4335,0.8656,0.0235,1243,126.00,AMZN230728P00126000,0.6,-0.275,0.63,0.65,241,0.4304,-0.1352,0.0236,1603
Fri Jul 28 2023,AMZN230728C00127000,9.25,1.45,9.25,9.35,53,0.4207,0.8431,0.0266,1267,127.00,AMZN230728P00127000,0.79,-0.26,0.75,0.77,353,0.421,-0.1578,0.0267,4232
Fri Jul 28 2023,AMZN230728C00128000,8.48,1.48,8.4,8.5,67,0.4139,0.817,0.0298,2288,128.00,AMZN230728P00128000,0.94,-0.315,0.89,0.92,967,0.4135,-0.1841,0.0299,3668
Fri Jul 28 2023,AMZN230728C00129000,7.7,1.45,7.6,7.7,66,0.4111,0.7871,0.0331,1673,129.00,AMZN230728P00129000,1.08,-0.43,1.07,1.09,473,0.4076,-0.2142,0.0333,2665
Fri Jul 28 2023,AMZN230728C00130000,6.95,1.4,6.8,6.9,5784,0.4034,0.7533,0.0364,21091,130.00,AMZN230728P00130000,1.29,-0.515,1.29,1.31,2157,0.4031,-0.2482,0.0366,4969
Fri Jul 28 2023,AMZN230728C00131000,6,1.1,6.05,6.15,548,0.3982,0.7157,0.0395,2964,131.00,AMZN230728P00131000,1.54,-0.625,1.55,1.57,1241,0.3994,-0.286,0.0397,4126
Fri Jul 28 2023,AMZN230728C00132000,5.45,1.125,5.4,5.45,2208,0.398,0.6748,0.0422,4303,132.00,AMZN230728P00132000,1.84,-0.725,1.86,1.89,3082,0.3971,-0.3272,0.0424,6440
Fri Jul 28 2023,AMZN230728C00133000,4.82,1.045,4.75,4.85,2338,0.3984,0.6311,0.0443,7628,133.00,AMZN230728P00133000,2.19,-0.835,2.23,2.25,3179,0.3974,-0.3707,0.0446,2693
Fri Jul 28 2023,AMZN230728C00134000,4.2,0.9,4.2,4.25,4338,0.3994,0.5855,0.0458,5850,134.00,AMZN230728P00134000,2.66,-0.89,2.65,2.67,2594,0.3973,-0.4171,0.0462,1861
Fri Jul 28 2023,AMZN230728C00135000,3.7,0.83,3.65,3.7,31927,0.3978,0.539,0.0466,24821,135.00,AMZN230728P00135000,3.1,-1,3.1,3.15,2040,0.3973,-0.464,0.047,3694
Fri Jul 28 2023,AMZN230728C00136000,3.22,0.73,3.15,3.25,3437,0.3995,0.4926,0.0466,5048,136.00,AMZN230728P00136000,3.64,-1.11,3.6,3.7,107,0.3988,-0.5109,0.0471,3468
Fri Jul 28 2023,AMZN230728C00137000,2.8,0.64,2.77,2.81,3723,0.4034,0.4472,0.0459,5387,137.00,AMZN230728P00137000,4.35,-1.05,4.2,4.3,288,0.4037,-0.5567,0.0464,624
Fri Jul 28 2023,AMZN230728C00138000,2.44,0.575,2.4,2.43,2959,0.4063,0.4037,0.0445,9556,138.00,AMZN230728P00138000,5.03,-1.07,4.85,4.9,196,0.4064,-0.6008,0.0451,297
Fri Jul 28 2023,AMZN230728C00139000,2.11,0.49,2.07,2.1,4185,0.4103,0.3626,0.0427,3374,139.00,AMZN230728P00139000,5.46,-1.39,5.5,5.6,60,0.41,-0.6423,0.0433,152
Fri Jul 28 2023,AMZN230728C00140000,1.81,0.4,1.8,1.82,27998,0.4146,0.3245,0.0404,29567,140.00,AMZN230728P00140000,6.15,-1.5,6.2,6.3,31,0.4118,-0.6809,0.041,421
Fri Jul 28 2023,AMZN230728C00141000,1.55,0.335,1.55,1.57,955,0.4195,0.2895,0.0379,2426,141.00,AMZN230728P00141000,7.15,-1.3,6.95,7.05,7,0.4154,-0.7164,0.0386,73
Fri Jul 28 2023,AMZN230728C00142000,1.38,0.325,1.34,1.36,406,0.4251,0.2576,0.0353,1554,142.00,AMZN230728P00142000,7.85,-1.45,7.75,7.85,14,0.4217,-0.7487,0.036,110
Fri Jul 28 2023,AMZN230728C00143000,1.17,0.255,1.16,1.18,326,0.4312,0.2289,0.0326,1170,143.00,AMZN230728P00143000,9.9,0,8.6,8.7,0,0.4316,-0.778,0.0333,185
Fri Jul 28 2023,AMZN230728C00144000,1.02,0.225,1.01,1.03,375,0.4383,0.203,0.03,992,144.00,AMZN230728P00144000,10.8,0,9.45,9.55,0,0.438,-0.8043,0.0307,147
Fri Jul 28 2023,AMZN230728C00145000,0.89,0.2,0.89,0.9,4674,0.4463,0.1799,0.0274,10007,145.00,AMZN230728P00145000,13.05,0,10.3,10.4,0,0.4405,-0.8279,0.0282,306
