DATE,RTWEXEMEGS
2006-01-01,100.0
2006-02-01,99.4291
2006-03-01,99.9526
2006-04-01,100.3185
2006-05-01,100.2101
2006-06-01,101.7262
2006-07-01,100.9317
2006-08-01,100.6113
2006-09-01,99.833
2006-10-01,98.7393
2006-11-01,98.0229
2006-12-01,97.2493
2007-01-01,97.4409
2007-02-01,97.2986
2007-03-01,97.594
2007-04-01,96.7327
2007-05-01,95.8034
2007-06-01,95.3884
2007-07-01,94.3351
2007-08-01,94.8982
2007-09-01,94.4437
2007-10-01,92.7892
2007-11-01,92.6021
2007-12-01,92.1466
2008-01-01,91.5122
2008-02-01,89.9333
2008-03-01,89.1863
2008-04-01,88.0826
2008-05-01,88.4096
2008-06-01,88.2379
2008-07-01,87.8234
2008-08-01,88.244
2008-09-01,91.0957
2008-10-01,97.0735
2008-11-01,97.4924
2008-12-01,97.4188
2009-01-01,98.3123
2009-02-01,101.24
2009-03-01,101.117
2009-04-01,97.4896
2009-05-01,95.5492
2009-06-01,95.8356
2009-07-01,95.5416
2009-08-01,94.5593
2009-09-01,94.6678
2009-10-01,93.4714
2009-11-01,93.0953
2009-12-01,92.5549
2010-01-01,91.7989
2010-02-01,92.0922
2010-03-01,90.6447
2010-04-01,89.306
2010-05-01,90.7269
2010-06-01,90.9469
2010-07-01,90.5251
2010-08-01,89.8081
2010-09-01,88.9487
2010-10-01,87.0672
2010-11-01,86.6872
2010-12-01,86.8481
2011-01-01,85.662
2011-02-01,85.3975
2011-03-01,85.2067
2011-04-01,83.8052
2011-05-01,83.6525
2011-06-01,83.3654
2011-07-01,82.6112
2011-08-01,83.7847
2011-09-01,86.5695
2011-10-01,87.4595
2011-11-01,87.8758
2011-12-01,88.2198
2012-01-01,86.7903
2012-02-01,85.1839
2012-03-01,85.32
2012-04-01,85.9869
2012-05-01,87.4167
2012-06-01,88.4004
2012-07-01,87.1588
2012-08-01,86.7736
2012-09-01,85.9675
2012-10-01,85.411
2012-11-01,85.3688
2012-12-01,84.5563
2013-01-01,83.8649
2013-02-01,84.1347
2013-03-01,83.5238
2013-04-01,82.2509
2013-05-01,82.3065
2013-06-01,84.3009
2013-07-01,84.247
2013-08-01,84.9293
2013-09-01,84.5927
2013-10-01,83.606
2013-11-01,83.9889
2013-12-01,84.1202
2014-01-01,84.709
2014-02-01,85.1271
2014-03-01,85.0402
2014-04-01,84.5256
2014-05-01,83.9342
2014-06-01,83.9523
2014-07-01,83.581
2014-08-01,83.8341
2014-09-01,84.2257
2014-10-01,84.965
2014-11-01,85.6834
2014-12-01,87.8258
2015-01-01,87.9751
2015-02-01,88.8356
2015-03-01,89.882
2015-04-01,88.9641
2015-05-01,89.2076
2015-06-01,90.0102
2015-07-01,91.2642
2015-08-01,93.9364
2015-09-01,95.2013
2015-10-01,93.9427
2015-11-01,94.293
2015-12-01,95.5183
2016-01-01,98.2769
2016-02-01,97.9691
2016-03-01,95.6362
2016-04-01,94.6811
2016-05-01,96.2513
2016-06-01,97.0663
2016-07-01,96.7558
2016-08-01,96.1366
2016-09-01,97.3521
2016-10-01,97.3273
2016-11-01,99.9426
2016-12-01,101.3783
2017-01-01,101.7094
2017-02-01,99.7655
2017-03-01,97.9659
2017-04-01,96.7775
2017-05-01,96.4564
2017-06-01,95.2867
2017-07-01,94.5094
2017-08-01,93.8979
2017-09-01,93.6579
2017-10-01,95.2499
2017-11-01,95.1621
2017-12-01,95.0335
2018-01-01,93.4694
2018-02-01,92.8594
2018-03-01,92.7339
2018-04-01,92.6925
2018-05-01,95.6661
2018-06-01,97.3654
2018-07-01,97.2068
2018-08-01,97.8349
2018-09-01,98.5952
2018-10-01,99.0828
2018-11-01,100.2559
2018-12-01,99.8232
2019-01-01,97.7215
2019-02-01,97.4868
2019-03-01,97.5549
2019-04-01,97.2614
2019-05-01,98.3613
2019-06-01,98.196
2019-07-01,97.4857
2019-08-01,100.1723
2019-09-01,99.9965
2019-10-01,99.2644
2019-11-01,98.8137
2019-12-01,98.209
2020-01-01,97.1034
2020-02-01,98.117
2020-03-01,103.9946
2020-04-01,106.5446
2020-05-01,105.6147
2020-06-01,103.2345
2020-07-01,103.0852
2020-08-01,102.6006
2020-09-01,101.3844
2020-10-01,100.3775
2020-11-01,98.6667
2020-12-01,97.0956
2021-01-01,96.6231
2021-02-01,97.2247
2021-03-01,98.5876
2021-04-01,98.0139
2021-05-01,97.5038
2021-06-01,97.8918
2021-07-01,98.7802
2021-08-01,99.2222
2021-09-01,99.2386
2021-10-01,100.2045
2021-11-01,100.9382
2021-12-01,101.7605
2022-01-01,101.3956
2022-02-01,101.3065
2022-03-01,102.075
2022-04-01,101.3714
2022-05-01,103.4855
2022-06-01,104.0895
2022-07-01,105.5215
2022-08-01,105.1229
2022-09-01,107.1533
2022-10-01,108.934
2022-11-01,107.7099
2022-12-01,105.9279
2023-01-01,103.7032
2023-02-01,104.2252
2023-03-01,104.2152
2023-04-01,103.665
2023-05-01,103.776
