Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),
BCKIY,Babcock International Group PLC,4.99,1.36,+37.47%,22489,377,2.523B,
AMC,AMC Entertainment Holdings, Inc.,5.85,1.45,+32.95%,244.345M,22.034M,5.419B,
MGYOY,MOL Magyar Olaj- és Gázipari Nyilvánosan Muködo Részvénytársaság,5.76,0.8,+16.01%,72360,11600,9.097B,3.95
RLLCF,Rolls-Royce Holdings plc,0.0072,0.0009,+14.29%,3.69M,1.238M,156.965B,0.4
LU,Lufax Holding Ltd,1.7,0.18,+11.84%,19.672M,9.753M,6.553B,6.07
PKX,POSCO Holdings Inc.,118.19,12.5,+11.83%,2.761M,286322,36.552B,22.01
BZ,Kanzhun Limited,17.29,1.81,+11.69%,3.928M,2.996M,7.516B,345.8
NIO,NIO Inc.,11.73,1.15,+10.87%,107.132M,55.54M,20.791B,
BILI,Bilibili Inc.,17.1,1.64,+10.61%,15.266M,5.374M,7.152B,
XPEV,XPeng Inc.,16.01,1.45,+9.96%,24.665M,15.118M,13.861B,
MNSO,MINISO Group Holding Limited,20.34,1.79,+9.65%,2.112M,1.088M,6.426B,29.48
CAVA,CAVA Group, Inc.,53.28,4.5,+9.23%,2.083M,2.17M,6.05B,
AUR,Aurora Innovation, Inc.,2.96,0.24,+8.82%,20.097M,6.226M,4.396B,
JBAXY,Julius Bär Gruppe AG,14.06,1.09,+8.36%,742607,66090,14.558B,13.26
SMBMF,Seatrium Limited,0.1096,0.0081,+7.98%,93500,28332,7.909B,
BKKLY,Bangkok Bank Public Company Limited,24.61,1.66,+7.21%,26434,2475,9.397B,9.08
IQ,iQIYI, Inc.,5.36,0.35,+6.99%,15.759M,11.62M,5.128B,134
BEKE,KE Holdings Inc.,15.84,1.02,+6.88%,13.837M,7.696M,19.828B,72
BOH,Bank of Hawaii Corporation,57.21,3.52,+6.56%,1.383M,1.34M,2.273B,10.79
OPEN,Opendoor Technologies Inc.,4.39,0.265,+6.42%,17.673M,25.701M,2.848B,
FUTU,Futu Holdings Limited,49.38,2.93,+6.31%,2.986M,1.877M,6.895B,14.35
DIDIY,DiDi Global Inc.,3.22,0.19,+6.27%,7.056M,7.01M,15.435B,
RIG,Transocean Ltd.,8.6,0.5,+6.17%,17.146M,15.813M,6.591B,
HCM,HUTCHMED (China) Limited,13.52,0.77,+6.04%,121304,100681,2.447B,
LSRCY,Lasertec Corporation,29.61,1.64,+5.86%,42851,254800,13.405B,56.94
