Date,Valor
2020-01-01,2.797067
2020-02-01,2.812936
2020-03-01,2.647379
2020-04-01,2.226352
2020-05-01,2.084208
2020-06-01,2.058146
2020-07-01,2.348857
2020-08-01,2.288978
2020-09-01,2.077391
2020-10-01,1.842159
2020-11-01,1.798587
2020-12-01,1.716599
2021-01-01,1.517012
2021-02-01,1.527009
2021-03-01,1.706984
2021-04-01,2.262331
2021-05-01,2.623164
2021-06-01,2.588579
2021-07-01,2.315464
2021-08-01,2.343064
2021-09-01,2.638383
2021-10-01,3.035619
2021-11-01,3.21432
2021-12-01,3.484143
2022-01-01,3.988659
2022-02-01,4.30707
2022-03-01,4.558423
2022-04-01,4.721803
2022-05-01,4.985582
2022-06-01,5.422337
2022-07-01,5.625329
2022-08-01,5.991705
2022-09-01,6.392795
2022-10-01,6.364809
2022-11-01,6.471178
2022-12-01,6.617223
2023-01-01,6.554492474
2023-02-01,6.59375
2023-03-01,5.6
2023-04-01,5.5


