Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest
Fri Apr 28 2023,KO230428C00057500,0,0,0,0,0,0.4802,0.9783,0.0148,0,57.50,KO230428P00057500,0.03,0,0,0,38,0.3979,-0.0217,0.0148,59
Fri Apr 28 2023,KO230428C00058000,5.13,0,0,0,0,0.4188,0.9749,0.0176,11,58.00,KO230428P00058000,0.02,-0.01,0,0,69,0.3709,-0.025,0.0176,179
Fri Apr 28 2023,KO230428C00059000,5.14,0.165,0,0,2,0.3585,0.9656,0.0256,115,59.00,KO230428P00059000,0.04,-0.015,0,0,83,0.3331,-0.0343,0.0256,286
Fri Apr 28 2023,KO230428C00060000,4.2,0.2,0,0,37,0.298,0.9503,0.0392,240,60.00,KO230428P00060000,0.06,0,0,0,1246,0.2889,-0.0497,0.0393,1695
Fri Apr 28 2023,KO230428C00061000,3.2,0.16,0,0,51,0.2756,0.9219,0.0639,486,61.00,KO230428P00061000,0.07,-0.03,0,0,1010,0.2519,-0.0782,0.0641,1217
Fri Apr 28 2023,KO230428C00062000,2.27,0.165,0,0,86,0.2401,0.8629,0.1099,4743,62.00,KO230428P00062000,0.13,-0.05,0,0,2541,0.2244,-0.1375,0.1104,2645
Fri Apr 28 2023,KO230428C00062500,1.83,0.15,0,0,169,0.2157,0.812,0.1434,329,62.50,KO230428P00062500,0.19,-0.065,0,0,406,0.2088,-0.1887,0.1441,561
Fri Apr 28 2023,KO230428C00063000,1.4,0.105,0,0,555,0.2086,0.7408,0.1815,5747,63.00,KO230428P00063000,0.27,-0.085,0,0,3000,0.1995,-0.2604,0.1827,2649
Fri Apr 28 2023,KO230428C00064000,0.71,0.07,0,0,3183,0.1857,0.5344,0.2421,4274,64.00,KO230428P00064000,0.6,-0.12,0,0,2382,0.1864,-0.4689,0.2449,1947
Fri Apr 28 2023,KO230428C00065000,0.3,0.07,0,0,3361,0.1779,0.2912,0.2214,2964,65.00,KO230428P00065000,1.2,-0.12,0,0,229,0.1722,-0.7168,0.227,227
Fri Apr 28 2023,KO230428C00066000,0.09,0.035,0,0,7051,0.1721,0.1098,0.1258,6368,66.00,KO230428P00066000,2.05,-0.105,0,0,27,0.1703,-0.9063,0.1347,29
Fri Apr 28 2023,KO230428C00067000,0.03,0.01,0,0,1304,0.1792,0.0349,0.0499,1090,67.00,KO230428P00067000,3.16,0.01,0,0,3,0.1937,-0.9886,0.0585,6
Fri Apr 28 2023,KO230428C00068000,0.01,-0.01,0,0,45,0.2092,0.0179,0.0246,79,68.00,KO230428P00068000,9.01,0,0,0,0,0.2518,-0.9994,0.0034,0
Fri Apr 28 2023,KO230428C00069000,0.02,-0.355,0,0,58,0.2385,0.0137,0.0165,58,69.00,KO230428P00069000,4.88,-0.245,0,0,1,0.334,-1,0,2
Fri Apr 28 2023,KO230428C00070000,0.01,-0.005,0,0,3,0.2557,0.0116,0.0123,84,70.00,KO230428P00070000,5.87,-0.28,0,0,7,0,-1,0,0
Fri Apr 28 2023,KO230428C00071000,0,0,0,0,0,0.2919,0.0101,0.0096,0,71.00,KO230428P00071000,0,0,0,0,0,0,-1,0,0
Fri Apr 28 2023,KO230428C00072000,0,0,0,0,0,0.327,0.009,0.0078,0,72.00,KO230428P00072000,0,0,0,0,0,0.4357,-1,0,0
Fri Apr 28 2023,KO230428C00073000,0,0,0,0,0,0.4272,0.0081,0.0065,0,73.00,KO230428P00073000,0,0,0,0,0,0.4781,-1,0,0
Fri Apr 28 2023,KO230428C00074000,0,0,0,0,0,0.4652,0.0074,0.0055,0,74.00,KO230428P00074000,0,0,0,0,0,0,-1,0,0
Fri Apr 28 2023,KO230428C00075000,0,0,0,0,0,0.5989,0.0068,0.0047,0,75.00,KO230428P00075000,0,0,0,0,0,0,-1,0,0
