Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),
AMC,AMC Entertainment Holdings, Inc.,5.85,1.45,+32.95%,244.345M,22.034M,5.419B,
TSLA,Tesla, Inc.,269.06,9.04,+3.48%,134.78M,137.854M,852.786B,87.36
NIO,NIO Inc.,11.73,1.15,+10.87%,107.132M,55.54M,20.791B,
BAC,Bank of America Corporation,32.65,0.67,+2.10%,61.174M,47.675M,259.684B,9.38
RIVN,Rivian Automotive, Inc.,25.81,0.54,+2.14%,59.367M,45.325M,24.244B,
APE,AMC Entertainment Holdings, Inc.,1.8,0,0.00%,52.608M,12.735M,4.076B,
T,AT&T Inc.,14.95,0.19,+1.29%,48.607M,45.635M,106.878B,
AMD,Advanced Micro Devices, Inc.,110.61,-0.34,-0.31%,45.442M,70.856M,178.122B,614.5
F,Ford Motor Company,13.96,0.18,+1.31%,46.476M,59.633M,55.851B,19.12
LCID,Lucid Group, Inc.,7.17,0.3,+4.37%,41.478M,42.17M,16.301B,
AAPL,Apple Inc.,192.75,0.81,+0.42%,44.776M,57.616M,3.032T,32.72
SIRI,Sirius XM Holdings Inc.,6,-1.08,-15.25%,38.802M,21.633M,23.21B,14.63
AMZN,Amazon.com, Inc.,128.8,-1.2,-0.92%,40.081M,63.191M,1.322T,306.67
PLTR,Palantir Technologies Inc.,16.32,-0.11,-0.67%,35.743M,80.442M,34.573B,
NVDA,NVIDIA Corporation,446.12,3.03,+0.68%,36.668M,49.587M,1.102T,232.35
BABA,Alibaba Group Holding Limited,96.35,4.18,+4.54%,33.06M,19.385M,246.897B,24.9
VZ,Verizon Communications Inc.,33.98,0.1,+0.30%,30.674M,24.13M,142.852B,6.61
GOOGL,Alphabet Inc.,121.53,1.51,+1.26%,29.518M,34.45M,1.545T,27.62
CCL,Carnival Corporation & plc,17.85,-0.03,-0.17%,27.912M,43.927M,23.313B,
AAL,American Airlines Group Inc.,16.88,-0.54,-3.10%,28.395M,24.169M,11.029B,6.59
ITUB,Itaú Unibanco Holding S.A.,5.98,-0.05,-0.83%,27.309M,20.272M,58.604B,9.34
MARA,Marathon Digital Holdings, Inc.,16.42,-0.46,-2.73%,26.311M,40.521M,2.791B,
BBD,Banco Bradesco S.A.,3.49,-0.09,-2.51%,24.875M,23.763M,37.084B,10.26
SOFI,SoFi Technologies, Inc.,9.45,0.02,+0.21%,25.651M,55.664M,8.891B,
XPEV,XPeng Inc.,16.01,1.45,+9.96%,24.665M,15.118M,13.861B,
