Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Jun 09 2023,MSFT230609C00307500,26.1,-3.825,26.25,27,2,0.5128,0.9924,0.0019,290,307.50,MSFT230609P00307500,0.03,-0.005,0.02,0.03,362,0.3706,-0.0079,0.0019,1006
Fri Jun 09 2023,MSFT230609C00310000,24.14,-3.36,23.3,24.25,30,0,0.9902,0.0025,755,310.00,MSFT230609P00310000,0.04,-0.015,0.03,0.04,267,0.3524,-0.0101,0.0025,1555
Fri Jun 09 2023,MSFT230609C00312500,21.55,-3.475,21.3,21.7,81,0.3723,0.9871,0.0034,209,312.50,MSFT230609P00312500,0.04,-0.025,0.03,0.05,275,0.3243,-0.0132,0.0034,925
Fri Jun 09 2023,MSFT230609C00315000,19.33,-3.22,18.8,19.85,147,0.4422,0.9826,0.0046,1759,315.00,MSFT230609P00315000,0.05,-0.025,0.05,0.06,479,0.3033,-0.0176,0.0047,2503
Fri Jun 09 2023,MSFT230609C00317500,15.75,-4.3,16.3,16.75,34,0.3064,0.976,0.0066,496,317.50,MSFT230609P00317500,0.07,-0.025,0.07,0.09,334,0.2808,-0.0243,0.0066,1792
Fri Jun 09 2023,MSFT230609C00320000,14.33,-3.195,13.8,14.25,106,0.2662,0.9652,0.0098,2789,320.00,MSFT230609P00320000,0.11,-0.015,0.1,0.11,929,0.2579,-0.0351,0.0098,3286
Fri Jun 09 2023,MSFT230609C00322500,11.79,-3.335,10.7,11.85,86,0,0.9468,0.015,737,322.50,MSFT230609P00322500,0.17,-0.005,0.14,0.16,959,0.2342,-0.0537,0.0151,4349
Fri Jun 09 2023,MSFT230609C00325000,9.4,-3.45,9,9.7,231,0.2531,0.9134,0.0237,1918,325.00,MSFT230609P00325000,0.25,-0.005,0.21,0.26,2335,0.2127,-0.0872,0.0238,3669
Fri Jun 09 2023,MSFT230609C00327500,7.17,-3.205,6.75,7.05,347,0.2079,0.853,0.037,1162,327.50,MSFT230609P00327500,0.45,0.04,0.42,0.5,3224,0.2024,-0.148,0.0373,3027
Fri Jun 09 2023,MSFT230609C00330000,4.87,-3.255,4.3,5.1,1024,0.2078,0.7494,0.0539,2859,330.00,MSFT230609P00330000,0.88,0.195,0.78,0.9,7531,0.1915,-0.2523,0.0543,6360
Fri Jun 09 2023,MSFT230609C00332500,3.14,-2.985,3,3.25,10125,0.1969,0.5992,0.0666,3476,332.50,MSFT230609P00332500,1.66,0.52,1.6,1.7,7787,0.1872,-0.4042,0.0674,3394
Fri Jun 09 2023,MSFT230609C00335000,1.83,-2.57,1.77,1.83,25321,0.19,0.4292,0.0676,9222,335.00,MSFT230609P00335000,2.84,0.96,2.74,2.95,5946,0.1829,-0.5767,0.0689,4388
Fri Jun 09 2023,MSFT230609C00337500,0.96,-2.005,0.95,0.97,9444,0.1922,0.2746,0.0569,5660,337.50,MSFT230609P00337500,4.5,1.54,4.4,5.1,1049,0.1844,-0.7346,0.0585,1814
Fri Jun 09 2023,MSFT230609C00340000,0.5,-1.385,0.49,0.51,8498,0.1978,0.1609,0.0405,6593,340.00,MSFT230609P00340000,6.42,2.045,6.4,6.75,591,0.1858,-0.8522,0.0425,1851
