Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Mon May 22 2023,NDXP230522C13725000,151.62,11.62,86.6,100,11,0.1115,0.725,0.0024,21,13725.00,NDXP230522P13725000,27.23,-14.22,23.1,25.9,13,0.1101,-0.2748,0.0024,11
Mon May 22 2023,NDXP230522C13730000,98.5,-37.65,83.1,96.3,11,0.111,0.7134,0.0025,25,13730.00,NDXP230522P13730000,24.7,-18.15,24.5,27.3,11,0.1099,-0.2864,0.0025,21
Mon May 22 2023,NDXP230522C13740000,96.19,-32.91,76.8,89,27,0.1104,0.6892,0.0026,18,13740.00,NDXP230522P13740000,27.8,-17.9,27.4,30.4,57,0.1089,-0.3106,0.0026,33
Mon May 22 2023,NDXP230522C13750000,80.19,-41.81,70.1,82.3,77,0.1094,0.6637,0.0027,61,13750.00,NDXP230522P13750000,31.15,-17.5,30,34.9,271,0.1085,-0.3361,0.0027,154
Mon May 22 2023,NDXP230522C13760000,81.53,-33.62,64,75.7,28,0.1105,0.6371,0.0028,37,13760.00,NDXP230522P13760000,35.4,-16.4,34,38.1,49,0.1079,-0.3628,0.0028,19
Mon May 22 2023,NDXP230522C13770000,63.64,-45.16,58,69.2,6,0.1097,0.6094,0.0028,15,13770.00,NDXP230522P13770000,38,-17.15,37.2,42.5,12,0.1067,-0.3904,0.0028,10
Mon May 22 2023,NDXP230522C13775000,70.38,-35.42,55.3,66.3,53,0.1084,0.5953,0.0029,57,13775.00,NDXP230522P13775000,41.07,-15.78,39.3,44.6,11,0.1058,-0.4046,0.0029,5
Mon May 22 2023,NDXP230522C13780000,60.45,-41.4,52.2,62.9,31,0.1091,0.5809,0.0029,31,13780.00,NDXP230522P13780000,43.05,-15.55,41.4,46.8,25,0.1061,-0.4189,0.0029,17
Mon May 22 2023,NDXP230522C13790000,61.6,-34.25,47.3,57.5,15,0.1077,0.5519,0.0029,11,13790.00,NDXP230522P13790000,46.72,-16.78,45.9,51.4,41,0.1059,-0.4479,0.0029,13
Mon May 22 2023,NDXP230522C13800000,49.59,-40.21,42.3,50,73,0.1071,0.5225,0.003,72,13800.00,NDXP230522P13800000,52.93,-13.52,47.8,57.7,41,0.1056,-0.4774,0.003,21
Mon May 22 2023,NDXP230522C13810000,51.35,-32.8,37.9,45.3,36,0.1064,0.4928,0.003,37,13810.00,NDXP230522P13810000,58.15,-12.45,52.7,63.2,49,0.1052,-0.507,0.003,17
Mon May 22 2023,NDXP230522C13820000,38.98,-40.57,35.6,40.8,23,0.106,0.4632,0.003,173,13820.00,NDXP230522P13820000,57.36,-17.84,58.6,69.8,5,0.105,-0.5366,0.003,3
Mon May 22 2023,NDXP230522C13825000,41.95,-34,33.6,38.5,43,0.1056,0.4485,0.003,85,13825.00,NDXP230522P13825000,68.32,-8.88,61.4,72.9,10,0.1046,-0.5513,0.003,7
Mon May 22 2023,NDXP230522C13830000,34.85,-39.35,32,36.5,74,0.1053,0.4338,0.0029,173,13830.00,NDXP230522P13830000,66.84,-12.81,64.3,76,13,0.1044,-0.566,0.0029,8
Mon May 22 2023,NDXP230522C13840000,37.8,-31.4,28.9,32,57,0.105,0.4047,0.0029,77,13840.00,NDXP230522P13840000,68.65,-16,70.4,82.7,18,0.1043,-0.5951,0.0029,6
Mon May 22 2023,NDXP230522C13850000,32.8,-31.1,25.7,28.6,168,0.1064,0.3762,0.0028,73,13850.00,NDXP230522P13850000,83.39,-6.11,76.1,88.9,9,0.104,-0.6237,0.0028,6
Mon May 22 2023,NDXP230522C13860000,25.9,-33.65,22.7,25.3,274,0.106,0.3483,0.0028,80,13860.00,NDXP230522P13860000,71.1,-23.9,82.9,96.1,4,0.1039,-0.6516,0.0028,2
Mon May 22 2023,NDXP230522C13870000,25.15,-28.85,20,22.5,40,0.1062,0.3212,0.0027,23,13870.00,NDXP230522P13870000,85.22,-15.33,89.9,103.7,2,0.1038,-0.6786,0.0027,1
Mon May 22 2023,NDXP230522C13875000,23.8,-28,18.8,21.3,40,0.106,0.308,0.0026,57,13875.00,NDXP230522P13875000,78.8,-23.8,94,108.2,2,0.104,-0.6918,0.0026,3
