Id;Referencia;Nombre
4;000192001;Colgante Global 1l E27 Blanco 20 D.
5;000192501;Colgante Global 1l E27 Blanco 25 D.
6;000193001;Colgante Global 1l E27 Blanco 30 D.
7;000193501;Colgante Global 1l E27 Blanco 35d.
8;000281103;Plafon Topacio Niquel 2xpl55w (72x25)
10;001063001;Aplique Duna 1l. (1xe27) 30cm En Blanco
12;001083001;Plafon Duna 1l. (1xe27) 30cm En Blanco
16;001492512;Colgante Exterior Jazmin 1l Bronce (20x35)
17;001493012;Colgante Exterior Jazmin 1l Bronce (25x43)
18;001784801;Plafon Serie Rubi Blanco T5 2x24w T/incl (19x67)
20;001787801;Plafon Serie Rubi Blanco T5 2x39w T/incl (19x96)
21;001787809;Plafon Serie Rubi Negro T5 2x39w T/incl (19x96)
22;001962016;Promo Neto Aplique Pequeño Serie Azahar 1l E27 Negro/oro (20x24.5x30)
23;001962516;Promo Neto Aplique Grande Serie Azahar 1l E27 Negro/oro (25x29.5x34)
26;002161917;Aplique Pequeño Serie Tulipan 1l E27 Oxido (19x22.5x32)
27;002162317;Aplique Grande Serie Tulipan 1l E27 Oxido (23x28x41)
28;002191917;Colgante Exterior Tulipan 1l E27 Oxido (32x19)
30;002261916;Aplique Exterior Orquidea 1xe27 Negro/oro (64x23x26)
31;002271016;Sobremuro Exterior Orquidea Negro/oro 62x23
32;002291916;Colgante Exterior Orquidea 1l E27 Negro/oro (REGx22x22)
33;002471000.;Sobremesa Nube Rosa 1xe14 (36x17)
34;002471004.;Sobremesa Nube Naranja 1xe14 (36x17)
35;002471008.;Sobremesa Nube Celeste 1xe14 (36x17)
37;002493000.;Colgante Nube Rosa 1xe27 (regx30)
40;002493019.;Colgante Nube Lila 1xe27 (regx30)
46;003282521;Plafon Serie Marte 2xe27 Estaño Dorado (28x25)
47;003283021;Plafon Serie Marte 2xe27 Estaño Dorado (28x30)
49;003382522;Plafon Serie Jupiter 2xe27 Bronce Dorado (25x25)
50;003383022;Plafon Serie Jupiter 2xe27 Bronce Dorado (25x30)
51;003384022;Plafon Serie Jupiter 3xe27 Bronce Dorado (25x40)
52;003482527;Plafon Serie Saturno 1xe27 Rustico Antiguo (18x25)
53;003483027;Plafon Serie Saturno 2xe27 Rustico Antiguo (22x30)
54;003484027;Plafon Serie Saturno 3xe27 Rustico Antiguo (18x40)
56;003494027;Semiplafon Serie Saturno 3xe27 Rustico Antiguo (18x40)
57;003571001;Sobremesa Serie Ana Blanco 1e27 Max 60w (78x42)
58;003571009;Sobremesa Serie Ana Negro 1xe27 Max 60w (76x42)
60;003671009;Sobremesa Serie Virginia Negro/cromo 1xe27 60w (56x36)
61;003771009;Sobremesa Serie Claudia Oval Negro/cromo 1xe27 Max 60w (68x40)
67;004010172;Promo Kit Barra Ultra 4x18 Led 6w Calido
76;004261009;Aplique Exterior Pozuelo Negro 22x14,5x11
77;004361009;Aplique Exterior Cuntis 1xe27 25x19,5x10 Negro
78;004361029;Aplique Exterior Cuntis 1xe27 25x19,5x10 Oro
79;004461002;Aplique Exterior Serie Versus Marron 1xe27 (21x15)
80;004461009;Aplique Exterior Versus Negro 1xe27 (21x15)
81;004653009;Lampara Cedro Hexagonal 3xe27 Negro 50x45  
82;004654009;Lampara Cedro Cuadrada 4xe27 Negro 50x52
84;004661009;Aplique Cedro 1xe27 Negro 26x14
85;004662009;Aplique Cedro 2xe27 Negro 26x27
86;004761102;Aplique Grand Exterior Navio Marron 1xe27 (48x25) 
87;004761302;Aplique Pequeño Serie Navio Marron 1lxe27 (41x22)
89;004861002;Aplique Exterior Minero Marron 1lxe27 (45.5x23)
90;004891002;Colgante Exterior Minero Marron 1lxe27 (40.5x23)
91;004971003;Sobremesa Serie Neptuno 1lxg9 Niquel/cromo (29x11)
92;004971005;Sobremesa Serie Neptuno 1lxg9 Wengue/cromo (29x11)
93;004983003;Plafon Serie Neptuno 3lxg9 Niquel/cromo 22x32
94;004983005;Plafon Serie Neptuno 3lxg9 Wengue/cromo 22x32
106;006061015;Aplique Mudejar 1xe27 Beis (33x17x11)
107;006082015;Plafon Pequeño Mudejar 1xe27 Beis 10x20,5x20,5 cm.
108;006082515;Plafon Grande Mudejar 2xe27 Beis (10x25x25)
112;006194004;Colgante Peq Serie Acuario Metacrilato Naranja (regx40)
115;006382701;Plafon Serie Venus Blanco 1xe27 Bomb. Incl  (10x27)
116;006382728;Plafon Serie Venus Zinc 1xe27 Bomb. Incl (10x27)
117;006551001;Lampara Serie Capricornio 1xe27 Blanco/cromo (62x36)
118;006551009;Lampara Serie Capricornio 1xe27 Negro/cromo (62x36)
119;006551031;Lampara Serie Capricornio 1e27 Cromo/wengue (62x36)
120;006552001;Lampara Serie Capricornio 2xe27 Blanco/cromo (59x54)
122;006552031;Lampara Serie Capricornio 2e27 Cromo/wengue (59x54)
123;006553001;Lampara Serie Capricornio 3xe27 Blanco/cromo (59x86)
124;006553031;Lampara Serie Capricornio 3xe27 Cromo/wengue (59x86)
126;006571001;Sobremesa Serie Capricornio 1xe27 Blanco/cromo (36x22)
127;006571009;Sobremesa Serie Capricornio 1xe27 Negro/cromo (36x22)
128;006571031;Sobremesa Serie Capricornio 1e27 Cromo/wengue (36x22)
129;006595231;Colgante Serie Capricornio 2e27 Cromo/wengue (62x52)
132;006684001;Plafon Redondo Serie Mercurio 3xe27 Blanco D40
133;006762501;Aplique Cuadrado Serie Pluton 1xe27 Blanco 13x25
134;006782501;Plafon Cuadrado Serie Pluton 1xe27 Blanco 25x25
135;006783001;Plafon Cuadrado Serie Pluton 2xe27 Blanco 30x30
137;007061209;Aplique Serie Libra 1xe27 Negro 30x17
138;007061220;Aplique Serie Libra 1xe27 Cromo 30x17
139;007062109;Aplique Serie Libra 2xe27 Negro 40x17
140;007062309;Aplique Serie Libra 2xe27 Negro 40x17
141;007062320;Aplique Serie Libra 2xe27 Cromo 40x17
142;007753020;Lampara Cromo Serie Huelva 3xe27 (54x56)
143;007755020;Lampara Cromo Serie Huelva 5xe27 (60x65)
145;007852020;Lampara Ondas Serie Toronto Cromo 2xe27 (regx99)
148;008053002;Lampara Serie Orense Marron 3xe27 61x58
149;008053020;Lampara Serie Orense Cromo 3xe27 61x58
150;008055002;Lampara Serie Orense Marron 5xe27 66x63
151;008055020;Lampara Serie Orense Cromo 5xe27 66x63
