Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Jun 16 2023,SOFI230616C00005000,4.7,0.2,4.65,4.8,163,0,0.9964,0.0054,13489,5.00,SOFI230616P00005000,0.01,0.005,0,0.01,23,3.7217,-0.0045,0.005,81414
Fri Jun 16 2023,SOFI230616C00005500,3.9,-0.1,4.15,4.3,108,0,0.9953,0.0074,5698,5.50,SOFI230616P00005500,0.01,0.005,0,0.01,1,3.2296,-0.0057,0.007,3562
Fri Jun 16 2023,SOFI230616C00006000,3.7,0.2,3.7,3.75,1630,0,0.9937,0.0107,12296,6.00,SOFI230616P00006000,0.01,0.005,0,0.01,34,2.7779,-0.0074,0.0101,9438
Fri Jun 16 2023,SOFI230616C00006500,3.25,0.24,3.2,3.3,103,2.8587,0.991,0.016,4694,6.50,SOFI230616P00006500,0.01,0.005,0,0.01,54,2.3592,-0.0102,0.0153,13184
Fri Jun 16 2023,SOFI230616C00007000,2.72,0.22,2.72,2.81,1169,2.688,0.9864,0.0253,27580,7.00,SOFI230616P00007000,0.01,0.005,0,0.01,203,1.9674,-0.0148,0.0245,18749
Fri Jun 16 2023,SOFI230616C00007500,2.23,0.24,2.17,2.3,917,1.3419,0.9779,0.0429,11113,7.50,SOFI230616P00007500,0.01,-0.005,0,0.01,491,1.5976,-0.0234,0.0418,11680
Fri Jun 16 2023,SOFI230616C00008000,1.74,0.24,1.69,1.8,7813,1.458,0.9602,0.0788,23354,8.00,SOFI230616P00008000,0.02,-0.005,0.01,0.02,5244,1.4889,-0.041,0.0775,14569
Fri Jun 16 2023,SOFI230616C00008500,1.27,0.23,1.2,1.32,3933,1.266,0.9195,0.1557,10210,8.50,SOFI230616P00008500,0.04,-0.015,0.03,0.04,11093,1.3258,-0.0816,0.1542,12111
Fri Jun 16 2023,SOFI230616C00009000,0.82,0.17,0.81,0.83,10559,1.2085,0.8196,0.3023,17722,9.00,SOFI230616P00009000,0.08,-0.075,0.08,0.09,29896,1.184,-0.181,0.3008,16269
Fri Jun 16 2023,SOFI230616C00009500,0.47,0.105,0.45,0.48,25474,1.2191,0.6238,0.4432,14771,9.50,SOFI230616P00009500,0.23,-0.145,0.23,0.25,20854,1.2009,-0.3761,0.4422,5763
Fri Jun 16 2023,SOFI230616C00010000,0.24,0.045,0.23,0.25,81076,1.2082,0.4041,0.4229,33346,10.00,SOFI230616P00010000,0.49,-0.21,0.46,0.51,14685,1.154,-0.5954,0.4223,3728
Fri Jun 16 2023,SOFI230616C00010500,0.13,0.025,0.11,0.13,36383,1.2999,0.2459,0.3144,17647,10.50,SOFI230616P00010500,0.91,-0.205,0.83,0.91,440,1.2064,-0.7534,0.3142,249
Fri Jun 16 2023,SOFI230616C00011000,0.06,0.005,0.06,0.07,20967,1.4126,0.1491,0.2132,15974,11.00,SOFI230616P00011000,1.31,-0.26,1.26,1.39,473,1.38,-0.8502,0.2131,167
Fri Jun 16 2023,SOFI230616C00011500,0.04,0.005,0.03,0.04,7284,1.5043,0.0915,0.1405,4794,11.50,SOFI230616P00011500,1.91,-0.135,1.77,1.85,61,1.5528,-0.9077,0.1404,52
Fri Jun 16 2023,SOFI230616C00012000,0.03,0.005,0.02,0.03,6537,1.6692,0.057,0.092,10205,12.00,SOFI230616P00012000,2.35,-0.185,2.17,2.52,15,2.1414,-0.9422,0.092,13
Fri Jun 16 2023,SOFI230616C00012500,0.03,0.015,0.01,0.02,2727,1.756,0.036,0.0603,3168,12.50,SOFI230616P00012500,3.06,0.01,2.7,2.94,55,0,-0.9632,0.0603,18
Fri Jun 16 2023,SOFI230616C00013000,0.01,-0.005,0.01,0.02,1069,1.9775,0.023,0.0398,3392,13.00,SOFI230616P00013000,3.45,-0.075,3.2,3.35,13,1.7152,-0.9761,0.0398,27
Fri Jun 16 2023,SOFI230616C00014000,0.01,0,0,0.01,317,2.0548,0.0097,0.0176,2273,14.00,SOFI230616P00014000,6.4,0,4.15,4.35,0,0,-0.9894,0.0176,3
Fri Jun 16 2023,SOFI230616C00015000,0.01,0.005,0,0.01,747,2.3848,0.0042,0.008,5075,15.00,SOFI230616P00015000,5.36,-0.14,5.2,5.35,46,2.4452,-0.9949,0.008,10
Fri Jun 23 2023,SOFI230623C00005000,4.61,0.11,4.6,4.85,12,0,0.9906,0.0089,925,5.00,SOFI230623P00005000,0.01,0.005,0,0.01,1,1.7632,-0.0094,0.0086,2016
Fri Jun 23 2023,SOFI230623C00005500,3.94,-0.06,4.2,4.35,24,2.1215,0.9869,0.0129,1512,5.50,SOFI230623P00005500,0.02,0.01,0.01,0.02,12,1.7767,-0.013,0.0126,809
Fri Jun 23 2023,SOFI230623C00006000,3.74,0.24,3.7,3.85,118,1.8374,0.9812,0.0193,1572,6.00,SOFI230623P00006000,0.02,0.005,0,0.02,29,1.444,-0.0186,0.0189,1507
Fri Jun 23 2023,SOFI230623C00006500,3.1,0.08,3.1,3.4,22,1.3292,0.9721,0.0294,1399,6.50,SOFI230623P00006500,0.01,-0.015,0.01,0.02,2089,1.3086,-0.0276,0.0291,3610
Fri Jun 23 2023,SOFI230623C00007000,2.75,0.225,2.7,2.85,161,1.3273,0.9569,0.0461,2621,7.00,SOFI230623P00007000,0.03,-0.005,0.02,0.03,1753,1.2008,-0.0427,0.0457,3370
Fri Jun 23 2023,SOFI230623C00007500,2.27,0.23,2.21,2.37,234,1.176,0.9306,0.0728,1374,7.50,SOFI230623P00007500,0.05,-0.005,0.04,0.06,550,1.1446,-0.0688,0.0725,2264
Fri Jun 23 2023,SOFI230623C00008000,1.81,0.215,1.76,1.93,404,1.1459,0.8854,0.113,2799,8.00,SOFI230623P00008000,0.09,-0.015,0.09,0.11,2438,1.1103,-0.1138,0.1128,4191
Fri Jun 23 2023,SOFI230623C00008500,1.4,0.22,1.35,1.49,1260,1.0802,0.8122,0.1638,3028,8.50,SOFI230623P00008500,0.19,-0.005,0.17,0.21,1739,1.0918,-0.1869,0.1636,2887
Fri Jun 23 2023,SOFI230623C00009000,1.05,0.2,1.03,1.1,3403,1.0756,0.7093,0.2101,3976,9.00,SOFI230623P00009000,0.32,-0.035,0.32,0.35,4438,1.0858,-0.2897,0.21,4154
Fri Jun 23 2023,SOFI230623C00009500,0.77,0.19,0.76,0.78,9243,1.0718,0.5903,0.234,6179,9.50,SOFI230623P00009500,0.55,-0.04,0.54,0.56,14191,1.0986,-0.4087,0.234,8712
