Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Jun 30 2023,SPCE230630C00000500,4.17,0.37,4.1,4.35,2,0,0.9983,0.0013,3,0.50,SPCE230630P00000500,0.01,0.005,0,0.01,10,0,-0.0018,0.0013,10
Fri Jun 30 2023,SPCE230630C00001000,3.8,0.5,3.6,3.85,1,0,0.9966,0.0034,2,1.00,SPCE230630P00001000,0.01,0,0,0.01,0,0,-0.0035,0.0034,1
Fri Jun 30 2023,SPCE230630C00001500,3.05,0.26,3.2,3.35,2,0,0.9941,0.007,1,1.50,SPCE230630P00001500,0.01,0,0,0.01,0,6.7945,-0.006,0.007,41
Fri Jun 30 2023,SPCE230630C00002000,2.77,0.48,2.63,2.83,1,0,0.9899,0.014,0,2.00,SPCE230630P00002000,0.01,0,0,0.01,0,5.1872,-0.0102,0.014,1563
Fri Jun 30 2023,SPCE230630C00002500,2.22,0.43,2.13,2.31,23,0,0.9823,0.0279,95,2.50,SPCE230630P00002500,0.01,0.005,0,0.01,373,3.9433,-0.0178,0.0279,1177
Fri Jun 30 2023,SPCE230630C00003000,1.8,0.5,1.71,1.84,274,3.6371,0.9671,0.0576,317,3.00,SPCE230630P00003000,0.01,-0.005,0.01,0.02,1612,3.4918,-0.033,0.0576,6841
Fri Jun 30 2023,SPCE230630C00003500,1.25,0.4,1.2,1.32,184,2.5768,0.9332,0.1247,2011,3.50,SPCE230630P00003500,0.04,-0.025,0.03,0.04,3056,2.9844,-0.067,0.1248,13640
Fri Jun 30 2023,SPCE230630C00004000,0.83,0.345,0.8,0.86,2174,2.5606,0.8441,0.2707,3246,4.00,SPCE230630P00004000,0.09,-0.105,0.08,0.09,5972,2.5799,-0.156,0.2708,30583
Fri Jun 30 2023,SPCE230630C00004500,0.46,0.185,0.46,0.48,7491,2.4235,0.6486,0.4222,7865,4.50,SPCE230630P00004500,0.24,-0.245,0.23,0.24,3060,2.5133,-0.3516,0.4223,5404
Fri Jun 30 2023,SPCE230630C00005000,0.28,0.125,0.27,0.28,16562,2.6901,0.4405,0.4064,14625,5.00,SPCE230630P00005000,0.54,-0.33,0.52,0.55,1175,2.7395,-0.5598,0.4066,4920
Fri Jun 30 2023,SPCE230630C00005500,0.19,0.095,0.18,0.19,5730,3.0917,0.2975,0.321,9683,5.50,SPCE230630P00005500,0.9,-0.41,0.88,1.01,138,3.1481,-0.7029,0.3213,1889
Fri Jun 30 2023,SPCE230630C00006000,0.12,0.055,0.12,0.13,5023,3.3655,0.2089,0.2422,10087,6.00,SPCE230630P00006000,1.48,-0.295,1.33,1.44,24,3.4817,-0.7916,0.2424,1101
Fri Jun 30 2023,SPCE230630C00006500,0.09,0.045,0.09,0.1,2698,3.6904,0.1533,0.1837,6025,6.50,SPCE230630P00006500,1.8,-0.45,1.79,1.92,1,3.8289,-0.8472,0.184,92
Fri Jun 30 2023,SPCE230630C00007000,0.07,0.035,0.06,0.07,2678,3.8353,0.1164,0.1421,6999,7.00,SPCE230630P00007000,2.71,0,2.22,2.48,0,4.2075,-0.8841,0.1423,22
Fri Jun 30 2023,SPCE230630C00007500,0.05,0.025,0.04,0.06,948,4.0515,0.0907,0.1119,2993,7.50,SPCE230630P00007500,2.76,-0.465,2.66,2.96,10,4.1752,-0.9099,0.1122,37
Fri Jun 30 2023,SPCE230630C00008000,0.04,0.025,0.03,0.04,1582,4.1493,0.0719,0.0896,7035,8.00,SPCE230630P00008000,3.71,0,3.2,3.45,0,4.8469,-0.9287,0.0898,18
Fri Jun 30 2023,SPCE230630C00009000,0.02,0.005,0.01,0.02,440,4.2047,0.0473,0.0597,1413,9.00,SPCE230630P00009000,0,0,4.15,4.45,0,5.1277,-0.9534,0.06,0
Fri Jun 30 2023,SPCE230630C00009500,0.03,0.02,0.01,0.03,742,4.6901,0.039,0.0495,1065,9.50,SPCE230630P00009500,5.35,0,4.65,4.95,0,5.449,-0.9617,0.0498,1
Fri Jun 30 2023,SPCE230630C00010000,0.02,0.01,0.01,0.02,168,4.753,0.0324,0.0414,646,10.00,SPCE230630P00010000,0,0,5.15,5.45,0,5.7486,-0.9683,0.0417,0
