
,Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.\n
,To access our full collection of comprehensive historical market data visit CBOE Data Shop at https://datashop.cboe.com.\n
Date,Open,High,Low,Close
4/26/2023,11.42,15.13,10.7,13.73
4/27/2023,9.74,15.59,9.65,15.28
4/28/2023,10.35,13.97,10.12,13.35
5/1/2023,9.51,10.85,8.86,10.06
5/2/2023,9.34,19.83,9.34,19.82
5/3/2023,19.37,23.03,17.54,17.64
5/4/2023,15.09,21,14.71,20.77
5/5/2023,13.02,14.58,11.77,14.12
5/8/2023,10.14,12.45,9.57,11.32
5/9/2023,10.06,18.33,9.76,18.33
5/10/2023,11.69,14.86,10.98,13.39
5/11/2023,11.91,13.82,10.98,13.82
5/12/2023,10.08,15.94,9.86,14.18
5/15/2023,10.47,11.68,9.49,11.68
5/16/2023,9.78,14.11,9.24,13.98
5/17/2023,9.56,13.08,9.18,12.94
5/18/2023,10.44,13.97,10.1,13.7
5/19/2023,11.36,15.37,11.14,14.17
5/22/2023,10.28,12.8,10.06,12.29
5/23/2023,11.37,14.63,9.41,13.43
5/24/2023,12.78,17.61,12.41,17.51
5/25/2023,14.2,17.15,12.52,16.5
5/26/2023,13.29,21.13,12.58,20.34
5/30/2023,11.64,14.31,10.52,13.58
5/31/2023,11.51,15.13,10.59,15.1
6/1/2023,10.52,14.46,9.92,13.98
6/2/2023,10.64,12.2,10.3,11.9
6/5/2023,9.69,11.29,8.86,10.57
6/6/2023,9.53,10.3,8.61,10.27
6/7/2023,8.9,11.04,8.5,11.04
6/8/2023,9.24,11.12,8.35,11.02
6/9/2023,9.26,11.96,8.84,11.59
6/12/2023,9.29,16.79,9.04,16.75
6/13/2023,11.78,17.39,11.45,17.26
6/14/2023,15.89,19.36,13.68,13.98
6/15/2023,11.08,16.29,9.82,15
6/16/2023,12.12,12.71,10.58,12.43
6/20/2023,9.4,11.05,8.55,11.04
6/21/2023,9.79,10.93,9.29,10.93
6/22/2023,9.43,10.51,8.67,10.34
6/23/2023,9.6,11.45,8.18,11.32
6/26/2023,9.03,11.33,8.17,11.09
6/27/2023,8.87,10.78,7.93,10.54
6/28/2023,8.38,11.37,8.02,11.36
6/29/2023,9.21,13.17,9.1,13.09
6/30/2023,9.51,15.3,9.47,15.3
7/3/2023,10.41,10.51,9.51,9.89
7/5/2023,8.23,10.1,7.57,9.99
7/6/2023,9.57,13.96,9.57,13.92
7/7/2023,10.13,11.75,8.38,11.25
7/10/2023,8.68,10.61,7.96,10.48
7/11/2023,8.59,16.33,8.29,15.91
7/12/2023,10.26,11.21,8.43,10.62
7/13/2023,8.59,12.06,7.6,12.06
7/14/2023,8.77,10.57,7.96,10.17
7/17/2023,7.68,9.85,7.19,9.72
7/18/2023,7.51,10.6,6.92,9.63
7/19/2023,8.15,11.74,7.56,10.65
7/20/2023,8.57,12.29,8.18,11.26
7/21/2023,9.03,10.39,8.15,9.73
