Day,Market Participant,Equity Option Contracts,Equity Option Trade Count,Equity Option Notional,Index/Other Option Contracts,Index/Other Option Trade Count,Index/Other Option Notional,Total Option Contracts,Total Trade Count,Total Option Notional
2023-07-21,NYSE American Options (A),3058232,262542,834917270.000000,0,0,0.000000,3058232,262542,834917270.000000
2023-07-21,BOX Options (B),2873717,349203,686072915.000000,0,0,0.000000,2873717,349203,686072915.000000
2023-07-21,Cboe Options Exchange (C),4810666,673781,1215577373.000000,3138540,535770,6704555500.000000,7949206,1209551,7920132873.000000
2023-07-21,MIAX Emerald (D),1249293,219984,304315551.000000,0,0,0.000000,1249293,219984,304315551.000000
2023-07-21,Cboe EDGX Options Exchange (E),2565828,381570,469333414.000000,0,0,0.000000,2565828,381570,469333414.000000
2023-07-21,Nasdaq GEMX (H),1385980,190228,252937560.000000,4775,1465,105690718.000000,1390755,191693,358628278.000000
2023-07-21,Nasdaq ISE (I),2881899,345921,990270037.000000,14406,5246,149743202.000000,2896305,351167,1140013239.000000
2023-07-21,Nasdaq MRX (J),949431,130112,193427724.000000,0,0,0.000000,949431,130112,193427724.000000
2023-07-21,MIAX Options Exchange (M),2699741,422333,672915957.000000,0,0,0.000000,2699741,422333,672915957.000000
2023-07-21,NYSE Arca Options (N),4907588,684587,1273115907.000000,0,0,0.000000,4907588,684587,1273115907.000000
2023-07-21,MIAX Pearl (P),2740811,312375,503241207.000000,0,0,0.000000,2740811,312375,503241207.000000
2023-07-21,NASDAQ Options Market (Q),2587856,421410,665487658.000000,0,0,0.000000,2587856,421410,665487658.000000
2023-07-21,Nasdaq BX Options (T),1942550,306241,659138719.000000,0,0,0.000000,1942550,306241,659138719.000000
2023-07-21,Cboe C2 Options Exchange (W),1924531,244586,315834443.000000,12404,3553,23550263.000000,1936935,248139,339384706.000000
2023-07-21,Nasdaq PHLX (X),4293992,325551,1164129061.000000,16280,6545,233100215.000000,4310272,332096,1397229276.000000
2023-07-21,Cboe BZX Options Exchange (Z),2319949,326579,523265044.000000,3806,1012,13168623.000000,2323755,327591,536433667.000000
2023-07-20,NYSE American Options (A),2963077,286042,763030798.000000,0,0,0.000000,2963077,286042,763030798.000000
2023-07-20,BOX Options (B),2785814,367441,1025097469.000000,0,0,0.000000,2785814,367441,1025097469.000000
2023-07-20,Cboe Options Exchange (C),5280472,705286,1424954704.000000,3885468,577777,6614929240.000000,9165940,1283063,8039883944.000000
2023-07-20,MIAX Emerald (D),1347171,237081,369722318.000000,0,0,0.000000,1347171,237081,369722318.000000
2023-07-20,Cboe EDGX Options Exchange (E),2725212,401408,553649612.000000,0,0,0.000000,2725212,401408,553649612.000000
2023-07-20,Nasdaq GEMX (H),1494745,207395,310592537.000000,3098,1044,75962647.000000,1497843,208439,386555184.000000
2023-07-20,Nasdaq ISE (I),2824146,340805,1054688143.000000,39990,13414,235426329.000000,2864136,354219,1290114472.000000
2023-07-20,Nasdaq MRX (J),960414,139303,218908891.000000,0,0,0.000000,960414,139303,218908891.000000
2023-07-20,MIAX Options Exchange (M),2885061,461751,740855577.000000,8,8,81195.000000,2885069,461759,740936772.000000
2023-07-20,NYSE Arca Options (N),5366466,725858,1527717152.000000,0,0,0.000000,5366466,725858,1527717152.000000
2023-07-20,MIAX Pearl (P),2955324,336673,583333412.000000,0,0,0.000000,2955324,336673,583333412.000000
2023-07-20,NASDAQ Options Market (Q),2542980,415649,700626900.000000,0,0,0.000000,2542980,415649,700626900.000000
2023-07-20,Nasdaq BX Options (T),2194419,315761,514770889.000000,0,0,0.000000,2194419,315761,514770889.000000
2023-07-20,Cboe C2 Options Exchange (W),2016674,250979,393160692.000000,8276,2693,12152718.000000,2024950,253672,405313410.000000
2023-07-20,Nasdaq PHLX (X),4652819,339281,1591060609.000000,38842,13518,367155433.000000,4691661,352799,1958216042.000000
2023-07-20,Cboe BZX Options Exchange (Z),2399866,343680,568692990.000000,4003,732,13434329.000000,2403869,344412,582127319.000000
2023-07-19,NYSE American Options (A),2922217,262292,919544207.000000,0,0,0.000000,2922217,262292,919544207.000000
2023-07-19,BOX Options (B),3011416,355442,1370730137.000000,0,0,0.000000,3011416,355442,1370730137.000000
2023-07-19,Cboe Options Exchange (C),4750601,662734,1726395058.000000,4651878,575676,9588245131.000000,9402479,1238410,11314640189.000000
2023-07-19,MIAX Emerald (D),1253850,220586,381581807.000000,0,0,0.000000,1253850,220586,381581807.000000
2023-07-19,Cboe EDGX Options Exchange (E),2385760,371154,557917976.000000,0,0,0.000000,2385760,371154,557917976.000000
2023-07-19,Nasdaq GEMX (H),1346775,193972,339579966.000000,907,345,35905612.000000,1347682,194317,375485578.000000
2023-07-19,Nasdaq ISE (I),2751808,337660,1411058421.000000,23634,8388,260367521.000000,2775442,346048,1671425942.000000
2023-07-19,Nasdaq MRX (J),870605,124847,233495208.000000,0,0,0.000000,870605,124847,233495208.000000
2023-07-19,MIAX Options Exchange (M),2707913,468178,860118391.000000,0,0,0.000000,2707913,468178,860118391.000000
2023-07-19,NYSE Arca Options (N),5266468,715651,1582892496.000000,0,0,0.000000,5266468,715651,1582892496.000000
2023-07-19,MIAX Pearl (P),2700477,326862,616719152.000000,0,0,0.000000,2700477,326862,616719152.000000
2023-07-19,NASDAQ Options Market (Q),2372085,381194,730476363.000000,0,0,0.000000,2372085,381194,730476363.000000
2023-07-19,Nasdaq BX Options (T),1879562,309220,565940938.000000,0,0,0.000000,1879562,309220,565940938.000000
2023-07-19,Cboe C2 Options Exchange (W),1900924,238004,407811714.000000,11103,3470,32782948.000000,1912027,241474,440594662.000000
2023-07-19,Nasdaq PHLX (X),5389193,331827,2543372083.000000,23800,9739,249205651.000000,5412993,341566,2792577734.000000
2023-07-19,Cboe BZX Options Exchange (Z),2154042,313847,597058421.000000,1959,325,7551626.000000,2156001,314172,604610047.000000
2023-07-18,NYSE American Options (A),2754534,251008,1041726878.000000,0,0,0.000000,2754534,251008,1041726878.000000
