
Standard & Poors 500 Index,Last: 3860.8101,Change:  -59.7499
"Date: 15 de marzo de 2023, 11:55 GMT-4",Bid: 3859.6299,Ask: 3861.51,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Mar 15 2023,SPXW230315C01000000,2884.1,0,2858.5,2861.3,0,0,1,0,7,1000.00,SPXW230315P01000000,0,0,0,0.05,0,0,0,0,0
Wed Mar 15 2023,SPXW230315C01200000,2680.1,0,2658.5,2661.3,0,0,1,0,7,1200.00,SPXW230315P01200000,0.05,0,0,0.05,0,0,0,0,1
Wed Mar 15 2023,SPXW230315C01400000,0,0,2458.5,2461.3,0,0,1,0,0,1400.00,SPXW230315P01400000,0,0,0,0.05,0,0,0,0,0
Wed Mar 15 2023,SPXW230315C01600000,2392.25,0,2258.5,2261.3,0,0,1,0,1,1600.00,SPXW230315P01600000,0,0,0,0.05,0,0,0,0,0
Wed Mar 15 2023,SPXW230315C01800000,2060.4,-36.9,2058.5,2061.3,3,0,1,0,0,1800.00,SPXW230315P01800000,0,0,0,0.05,0,0,0,0,0
Wed Mar 15 2023,SPXW230315C02000000,1863.2,-34.15,1858.5,1861.3,36,0,0.9999,0,7,2000.00,SPXW230315P02000000,0.05,0,0,0.05,0,8.401,-0.0001,0,1
Wed Mar 15 2023,SPXW230315C02200000,1660.78,-36.62,1658.5,1661.3,46,0,0.9999,0,7,2200.00,SPXW230315P02200000,0.05,0,0,0.05,0,7.2347,-0.0001,0,10
Wed Mar 15 2023,SPXW230315C02400000,1463.48,-33.92,1458.5,1461.3,92,0,0.9999,0,0,2400.00,SPXW230315P02400000,0.05,0,0,0.05,0,6.1662,-0.0001,0,296
Wed Mar 15 2023,SPXW230315C02600000,1269.23,-28.17,1258.5,1261.3,70,0,0.9998,0,1,2600.00,SPXW230315P02600000,0.05,0,0,0.05,0,5.1782,-0.0002,0,242
Wed Mar 15 2023,SPXW230315C02800000,1068.28,-29.22,1058.5,1061.3,1,0,0.9997,0,0,2800.00,SPXW230315P02800000,0.05,0,0,0.05,0,4.2573,-0.0003,0,1575
Wed Mar 15 2023,SPXW230315C02900000,1025.6,0,958.5,961.3,0,0,0.9997,0,7,2900.00,SPXW230315P02900000,0.05,0,0,0.05,0,3.8185,-0.0003,0,535
Wed Mar 15 2023,SPXW230315C03000000,0,0,858.5,861.3,0,0,0.9996,0,0,3000.00,SPXW230315P03000000,0.05,0,0,0.05,0,3.3924,-0.0004,0,3154
Wed Mar 15 2023,SPXW230315C03100000,0,0,758.5,761.3,0,0,0.9996,0,0,3100.00,SPXW230315P03100000,0.05,0.025,0,0.05,1,2.9778,-0.0004,0,5765
Wed Mar 15 2023,SPXW230315C03150000,727.4,0,708.5,711.3,0,0,0.9995,0,1,3150.00,SPXW230315P03150000,0.1,0,0,0.05,0,2.7746,-0.0005,0,2506
Wed Mar 15 2023,SPXW230315C03200000,667.4,-30.1,658.5,661.3,4,0,0.9995,0,94,3200.00,SPXW230315P03200000,0.1,0,0,0.05,0,2.5737,-0.0005,0,17006
Wed Mar 15 2023,SPXW230315C03250000,613.41,-34.09,608.5,611.3,73,0,0.9994,0,27,3250.00,SPXW230315P03250000,0.05,0.025,0,0.05,1,2.3751,-0.0006,0,8116
Wed Mar 15 2023,SPXW230315C03300000,559.44,-38.01,558.5,561.3,2,0,0.9993,0,61,3300.00,SPXW230315P03300000,0.05,0,0,0.05,0,2.1786,-0.0007,0,3328
Wed Mar 15 2023,SPXW230315C03350000,536.22,0,508.5,511.3,0,0,0.9992,0,7,3350.00,SPXW230315P03350000,0.05,0.025,0,0.05,2,1.984,-0.0008,0,15814
Wed Mar 15 2023,SPXW230315C03400000,0,0,458.5,461.3,0,0,0.9992,0,0,3400.00,SPXW230315P03400000,0.05,0,0,0.05,0,1.7913,-0.0008,0,11518
Wed Mar 15 2023,SPXW230315C03450000,471.73,0,408.5,411.3,0,0,0.999,0,4,3450.00,SPXW230315P03450000,0.05,0,0,0.05,0,1.6001,-0.001,0,8561
Wed Mar 15 2023,SPXW230315C03500000,394.48,0,358.5,361.3,0,0,0.9989,0,5,3500.00,SPXW230315P03500000,0.05,-0.025,0,0.05,2,1.4102,-0.0011,0,2936
Wed Mar 15 2023,SPXW230315C03525000,0,0,333.5,336.3,0,0,0.9988,0,0,3525.00,SPXW230315P03525000,0.05,-0.025,0,0.05,9,1.3157,-0.0012,0,644
Wed Mar 15 2023,SPXW230315C03550000,329,0,308.5,311.3,0,0,0.9987,0,4,3550.00,SPXW230315P03550000,0.05,-0.025,0,0.05,195,1.2214,-0.0013,0,5904
Wed Mar 15 2023,SPXW230315C03575000,0,0,283.5,286.3,0,0,0.9986,0,0,3575.00,SPXW230315P03575000,0.05,-0.025,0,0.05,64,1.1273,-0.0014,0,1537
Wed Mar 15 2023,SPXW230315C03590000,271,-36.7,268.6,271.3,7,0,0.9985,0,0,3590.00,SPXW230315P03590000,0.05,-0.05,0,0.05,11,1.0709,-0.0015,0,59
Wed Mar 15 2023,SPXW230315C03600000,272.34,-25.36,258.6,261.3,10,0,0.9985,0,3,3600.00,SPXW230315P03600000,0.05,-0.025,0,0.05,367,1.0333,-0.0015,0,3076
Wed Mar 15 2023,SPXW230315C03605000,250.64,-42.06,253.6,256.3,72,0,0.9984,0.0001,0,3605.00,SPXW230315P03605000,0.05,-0.05,0,0.05,5,1.0145,-0.0016,0.0001,13
Wed Mar 15 2023,SPXW230315C03610000,263.96,-23.74,248.9,251,12,0,0.9984,0.0001,0,3610.00,SPXW230315P03610000,0.05,-0.025,0,0.05,148,0.9957,-0.0016,0.0001,546
Wed Mar 15 2023,SPXW230315C03615000,0,0,243.9,246,0,0,0.9984,0.0001,0,3615.00,SPXW230315P03615000,0.05,-0.05,0,0.05,13,0.9769,-0.0016,0.0001,18
Wed Mar 15 2023,SPXW230315C03620000,241.6,-36.1,238.9,241,7,0,0.9983,0.0001,0,3620.00,SPXW230315P03620000,0.05,-0.025,0,0.05,264,0.9581,-0.0017,0.0001,585
Wed Mar 15 2023,SPXW230315C03625000,0,0,233.9,236,0,0,0.9983,0.0001,0,3625.00,SPXW230315P03625000,0.07,-0.005,0,0.05,739,0.9393,-0.0017,0.0001,3869
Wed Mar 15 2023,SPXW230315C03630000,0,0,228.9,231,0,0,0.9983,0.0001,0,3630.00,SPXW230315P03630000,0.05,-0.025,0,0.05,146,0.9205,-0.0017,0.0001,604
Wed Mar 15 2023,SPXW230315C03635000,0,0,223.9,226,0,0,0.9982,0.0001,0,3635.00,SPXW230315P03635000,0.05,-0.025,0,0.05,252,0.9017,-0.0018,0.0001,26
Wed Mar 15 2023,SPXW230315C03640000,272.58,0,218.9,221,0,0,0.9982,0.0001,93,3640.00,SPXW230315P03640000,0.05,-0.025,0,0.05,451,0.8829,-0.0018,0.0001,1479
Wed Mar 15 2023,SPXW230315C03645000,215.1,-37.55,214.2,216.1,7,0,0.9981,0.0001,0,3645.00,SPXW230315P03645000,0.05,-0.05,0,0.05,125,0.8641,-0.0019,0.0001,20
Wed Mar 15 2023,SPXW230315C03650000,200.1,-47.55,209.2,211,1,0,0.9981,0.0001,3,3650.00,SPXW230315P03650000,0.05,-0.075,0,0.05,1555,0.8453,-0.0019,0.0001,7423
