Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest
Wed Mar 22 2023,VIX230322C00014000,10.45,0,0,0,0,0,0.9978,0.0019,795,14.00,VIX230322P00014000,0.01,0,0,0,0,0,-0.0022,0.0019,4256
Wed Mar 22 2023,VIX230322C00014500,6.8,0,0,0,0,0,0.9975,0.0023,255,14.50,VIX230322P00014500,0.01,0,0,0,0,0,-0.0025,0.0023,95
Wed Mar 22 2023,VIX230322C00015000,7.33,0,0,0,0,0,0.9971,0.0027,2673,15.00,VIX230322P00015000,0.01,0,0,0,0,0,-0.0029,0.0027,29318
Wed Mar 22 2023,VIX230322C00016000,5.38,0,0,0,0,0,0.9962,0.0041,1368,16.00,VIX230322P00016000,0.01,0,0,0,0,0,-0.0038,0.0041,45853
Wed Mar 22 2023,VIX230322C00017000,4.3,0,0,0,0,0,0.995,0.0063,1369,17.00,VIX230322P00017000,0.01,0,0,0,0,0,-0.005,0.0063,138486
Wed Mar 22 2023,VIX230322C00018000,3.5,0,0,0,0,0,0.9932,0.0101,4485,18.00,VIX230322P00018000,0.01,0,0,0,0,0,-0.0068,0.0101,188993
Wed Mar 22 2023,VIX230322C00019000,2.43,0,0,0,0,0,0.9905,0.0175,25368,19.00,VIX230322P00019000,0.02,0,0,0,0,0,-0.0095,0.0175,140453
Wed Mar 22 2023,VIX230322C00020000,1.4,0,0,0,0,0,0.9842,0.0377,43877,20.00,VIX230322P00020000,0.05,0,0,0,0,0,-0.0158,0.0377,188467
Wed Mar 22 2023,VIX230322C00021000,0.67,0,0,0,0,0,0.9209,0.178,66166,21.00,VIX230322P00021000,0.25,0,0,0,0,0,-0.0791,0.178,123848
Wed Mar 22 2023,VIX230322C00022000,0.3,0,0,0,0,0,0.5706,0.509,94031,22.00,VIX230322P00022000,0.9,0,0,0,0,0,-0.4294,0.509,116651
Wed Mar 22 2023,VIX230322C00023000,0.15,0,0,0,0,0,0.2042,0.2802,75919,23.00,VIX230322P00023000,1.76,0,0,0,0,0,-0.7958,0.2802,88960
Wed Mar 22 2023,VIX230322C00024000,0.1,0,0,0,0,0,0.0824,0.1197,147135,24.00,VIX230322P00024000,2.71,0,0,0,0,0,-0.9176,0.1197,104030
Wed Mar 22 2023,VIX230322C00025000,0.05,0,0,0,0,0,0.0416,0.0582,123174,25.00,VIX230322P00025000,3.66,0,0,0,0,0,-0.9584,0.0582,82504
Wed Mar 22 2023,VIX230322C00026000,0.04,0,0,0,0,0,0.0254,0.0331,196591,26.00,VIX230322P00026000,4.6,0,0,0,0,0,-0.9746,0.0331,28256
Wed Mar 22 2023,VIX230322C00027000,0.04,0,0,0,0,0,0.0182,0.0217,106446,27.00,VIX230322P00027000,5.7,0,0,0,0,0,-0.9818,0.0217,22053
Wed Mar 22 2023,VIX230322C00028000,0.03,0,0,0,0,0,0.0145,0.0158,86312,28.00,VIX230322P00028000,6.8,0,0,0,0,0,-0.9855,0.0158,15821
Wed Mar 22 2023,VIX230322C00029000,0.03,0,0,0,0,0,0.0123,0.0123,54377,29.00,VIX230322P00029000,7.47,0,0,0,0,0,-0.9877,0.0123,5786
Wed Mar 22 2023,VIX230322C00030000,0.02,0,0,0,0,0,0.0108,0.01,194182,30.00,VIX230322P00030000,8.45,0,0,0,0,0,-0.9892,0.01,30892
Wed Mar 22 2023,VIX230322C00031000,0.01,0,0,0,0,0,0.0097,0.0084,24303,31.00,VIX230322P00031000,8.5,0,0,0,0,0,-0.9903,0.0084,1331
